City,Latitude,Longitude,Temperature,Humidity,Windspeed,Cloudiness,Max Temp
montrose,38.4166,-108.2673,17.41,15,4.47,100,18.33
chicama,-7.8447,-79.1469,19.0,82,6.17,75,19.0
tiznit,29.5833,-9.5,15.77,63,4.43,3,15.77
bonavista,48.6499,-53.1147,10.0,53,5.14,83,10.0
bafata,12.1667,-14.75,32.95,30,5.35,5,32.95
nikolskoye,59.7035,30.7861,4.63,65,2.0,20,5.0
nsanje,-16.92,35.262,22.55,76,1.66,8,22.55
saint-pierre,-21.3393,55.4781,23.01,88,12.35,75,25.0
ogbomosho,8.133,4.25,26.47,76,4.05,100,26.47
zhangye,38.9342,100.4517,10.19,35,1.74,100,10.19
barcelona,41.3888,2.159,15.26,82,1.03,20,16.11
albany,42.6001,-73.9662,19.25,19,1.34,87,21.11
ayna,-12.65,-73.9167,21.0,35,1.66,20,21.0
mount isa,-20.7333,139.5,21.0,30,2.57,1,21.0
avera,33.194,-82.5271,18.44,90,5.14,90,19.0
camacha,33.0833,-16.3333,18.0,68,6.17,20,18.0
velikiy ustyug,60.7644,46.3106,7.66,80,3.87,55,7.66
pimentel,-6.8367,-79.9342,22.59,60,9.77,0,24.0
hami,42.8,93.45,8.83,23,2.99,88,8.83
camacupa,-12.0167,17.4833,20.02,56,0.24,87,20.02
yumen,40.2833,97.2,9.67,36,3.38,84,9.67
ulcinj,41.9294,19.2244,11.54,47,1.54,0,15.0
te anau,-45.4167,167.7167,8.48,93,2.95,100,8.48
sayyan,15.1718,44.3244,17.6,26,5.62,30,17.6
ambovombe,-25.1667,46.0833,21.8,80,4.59,0,21.8
sharanga,57.1775,46.5396,6.39,87,5.64,100,6.39
geelong,-38.1471,144.3607,9.47,93,2.57,12,10.0
mahebourg,-20.4081,57.7,26.0,83,7.72,75,26.0
tual,-5.6667,132.75,29.16,66,7.18,100,29.16
saint-joseph,-21.3667,55.6167,22.62,88,12.35,75,25.0
buraydah,26.326,43.975,31.0,18,3.6,20,31.0
mercedes,-34.6515,-59.4307,22.59,51,3.13,4,23.33
bodden town,19.2833,-81.25,30.0,66,5.14,40,30.0
vila velha,-20.3297,-40.2925,27.12,65,5.14,20,27.22
houston,29.7633,-95.3633,28.95,42,7.2,1,30.0
norden,53.6,7.2,6.9,61,4.63,10,7.22
aklavik,68.2191,-135.0107,1.0,60,1.03,20,1.0
ulladulla,-35.35,150.4667,7.22,76,3.6,90,11.0
dustlik,40.5247,68.0358,18.29,31,2.58,5,18.29
cabildo,-38.4842,-61.8954,16.67,52,3.58,0,16.67
souillac,-20.5167,57.5167,26.0,83,7.72,75,26.0
kavaratti,10.5669,72.642,28.92,75,3.41,22,28.92
provideniya,64.3833,-173.3,1.95,83,0.41,99,1.95
saldanha,-33.0117,17.9442,18.0,63,3.6,100,18.0
sehithwa,-20.4667,22.7167,20.35,26,1.69,0,20.35
korla,41.7597,86.1469,10.09,42,5.4,0,10.09
igarka,67.4667,86.5833,0.56,97,5.0,100,0.56
karasjok,69.4719,25.5112,0.0,80,8.23,90,0.0
burla,21.5,83.8667,28.0,19,0.72,69,28.0
stuttgart,48.7823,9.177,15.0,31,3.09,0,15.0
luderitz,-26.6481,15.1594,16.71,85,2.36,7,16.71
hanzhong,33.0728,107.0303,12.21,86,0.22,95,12.21
wanning,18.8003,110.3967,25.5,92,4.14,66,25.5
uarini,-2.99,-65.1083,32.0,66,2.06,40,32.0
grand-lahou,5.1367,-5.0242,28.15,81,4.62,49,28.15
san cristobal,7.7669,-72.225,32.0,55,6.17,40,32.0
paramonga,-10.6667,-77.8333,22.21,74,5.1,9,22.21
port alfred,-33.5906,26.891,19.52,85,3.97,53,19.52
portland,45.5234,-122.6762,9.32,81,3.09,90,10.0
ailigandi,9.2333,-78.0167,28.4,74,3.95,52,28.4
gboko,7.3179,8.9951,28.03,67,3.92,20,28.03
shimoda,34.6667,138.95,10.3,74,0.45,16,11.11
fortuna,40.5982,-124.1573,11.96,87,2.06,90,12.22
aljezur,37.3191,-8.8033,16.33,87,4.86,42,16.33
kathmandu,27.7167,85.3167,18.0,55,2.06,20,18.0
bar harbor,44.3876,-68.2039,18.37,23,5.66,75,21.0
yulara,-25.2406,130.9889,12.0,58,3.09,8,12.0
paralimni,35.0375,33.9833,22.39,40,1.54,0,23.89
quesnel,52.9999,-122.5029,8.0,34,4.12,1,8.0
bredasdorp,-34.5322,20.0403,12.0,87,2.57,96,12.0
washougal,45.5826,-122.3534,9.05,81,2.06,90,10.0
maumere,-8.6199,122.2111,26.02,78,2.08,2,26.02
adrar,20.5022,-10.0711,32.58,11,4.79,6,32.58
omboue,-1.5746,9.2618,25.46,85,1.03,94,25.46
clyde river,70.4692,-68.5914,-8.0,93,4.12,75,-8.0
shumskiy,54.8318,99.1328,-2.46,90,1.13,100,-2.46
severnoye,56.3491,78.3619,1.88,78,1.42,93,1.88
nemuro,43.3236,145.575,2.38,95,6.58,100,2.38
nabire,-3.3667,135.4833,23.64,95,1.78,100,23.64
mizan teferi,6.9833,35.5833,17.11,95,1.27,100,17.11
vostok,46.4856,135.8833,-2.86,44,3.79,8,-2.86
toora-khem,52.4675,96.11,-1.56,82,1.85,100,-1.56
saurimo,-9.6608,20.3916,18.56,93,1.33,98,18.56
ola,59.5833,151.2833,-9.09,67,6.79,100,-9.09
shahr-e kord,32.3256,50.8644,14.0,28,2.06,0,14.0
punta arenas,-53.15,-70.9167,10.77,71,7.2,75,11.0
tomari,47.7658,142.0683,-0.3,87,4.08,100,-0.3
huarmey,-10.0681,-78.1522,23.04,73,5.65,5,23.04
bogale,16.2833,95.4,27.25,78,3.74,10,27.25
tomatlan,19.9333,-105.25,34.26,25,4.24,48,34.26
acari,-15.4311,-74.6158,25.99,55,4.97,3,25.99
lewistown,40.5992,-77.5714,17.04,39,3.13,100,17.22
hohhot,40.8106,111.6522,12.0,58,3.0,0,12.0
atar,20.5169,-13.0499,33.6,10,5.5,0,33.6
antofagasta,-23.65,-70.4,20.28,63,4.63,20,21.11
ramygala,55.5167,24.3,4.0,45,3.6,0,4.0
port lincoln,-34.7333,135.8667,14.2,71,1.8,0,14.2
pevek,69.7008,170.3133,-7.1,86,1.24,100,-7.1
biak,-0.9131,122.8766,24.86,77,2.56,95,24.86
muroto,33.2833,134.15,15.78,74,1.93,6,15.78
esperance,-33.8667,121.9,15.0,72,6.69,44,15.0
kudat,6.8837,116.8477,25.0,94,1.03,20,25.0
kargasok,59.0556,80.8572,2.07,96,2.17,100,2.07
russell,32.3502,-85.1999,23.77,73,4.12,1,25.0
rockport,28.0206,-97.0544,34.32,22,6.17,1,36.0
montepuez,-13.1256,38.9997,20.41,97,2.4,100,20.41
brainerd,46.358,-94.2008,5.51,38,4.63,1,6.11
altay,47.8667,88.1167,-4.1,57,2.84,51,-4.1
gidam,18.9833,81.4,26.35,21,1.19,0,26.35
shitkino,56.3703,98.3543,0.45,90,1.85,100,0.45
agadez,19.75,10.25,33.02,9,3.29,2,33.02
mahibadhoo,3.7833,72.9667,28.51,74,3.78,7,28.51
bilibino,68.0546,166.4372,-4.7,95,0.59,100,-4.7
aguimes,27.9054,-15.4461,20.91,83,7.2,75,21.67
san quintin,30.4833,-115.95,17.83,66,7.52,15,17.83
port macquarie,-31.4333,152.9167,10.87,91,1.34,0,11.67
la ronge,55.1001,-105.2842,-3.5,46,2.57,100,-3.0
ouesso,1.6136,16.0517,23.71,77,1.35,89,23.71
vestmanna,62.1564,-7.1664,9.0,66,2.06,100,9.0
roald,62.5833,6.1333,3.02,60,4.12,40,4.0
jijiga,9.35,42.8,19.96,69,4.25,64,19.96
vila,42.0304,-8.1588,16.21,82,4.63,75,17.0
mashhad,36.297,59.6062,20.0,42,2.06,0,20.0
padang,-0.9492,100.3543,24.84,87,1.03,89,24.84
vanavara,60.34,102.2797,-0.73,97,0.98,100,-0.73
oranjemund,-28.55,16.4333,15.26,90,1.14,12,15.26
qujing,25.4833,103.7833,15.51,88,1.8,4,15.51
mount gambier,-37.8333,140.7667,10.0,100,2.57,75,10.0
oranjestad,12.524,-70.027,31.0,62,11.32,20,31.0
port-cartier,50.0334,-66.8654,9.5,43,4.12,75,10.0
jalu,29.0331,21.5482,20.5,54,11.27,0,20.5
puerto del rosario,28.5004,-13.8627,23.0,49,6.69,20,23.0
busselton,-33.65,115.3333,11.11,89,0.87,0,11.11
havoysund,70.9963,24.6622,-1.0,80,5.14,75,-1.0
elko,41.0002,-115.5012,14.67,25,7.72,75,15.0
katsuura,35.1333,140.3,15.66,67,5.14,20,16.0
cockburn town,21.4612,-71.1419,28.0,65,6.17,40,28.0
camenca,48.0319,28.6978,6.11,62,1.28,88,6.11
faya,18.3851,42.4509,14.5,72,7.2,75,15.0
bom jesus,-9.0744,-44.3586,30.73,51,1.6,100,30.73
newport,51.5877,-2.9984,14.5,44,6.69,0,15.0
kloulklubed,7.0419,134.2556,28.0,78,5.14,75,28.0
jumla,29.2747,82.1838,6.81,70,2.46,10,6.81
